TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
62	TNTRunGamePrepareHint		▢FF00FF00游戏开始，地图还有▢FFFF0000%1s秒▢FF00FF00开始坍塌，快跑起来防止掉落。	▢FF00FF00Game has Started，The map will collapse in ▢FFFF0000%1s seconds▢FF00FF00, go and run!	▢FF00FF00O Jogo Começou, O Mapa Entrará em Colapso em ▢FFFF0000%1s Segundos▢FF00FF00, Vai Corra!	▢FF00FF00Игра начинается! Карта начнёт разрушаться через ▢FFFF0000%1s секунд▢FF00FF00, иди или беги!	▢FF00FF00게임 시작합니다. 지도는 ▢FFFF0000%1s▢FF00FF00초 뒤에 붕괴합니다. 떨어지 않게 빨리 뜁시다.	▢FF00FF00Start. Die Karte wird nach ▢FFFF0000%1s▢FF00FF00 zerfallen. Lauf schnell.	▢FF00FF00Le jeu commence, ▢FFFF0000%1s▢FF00FF00 secondes restantes avant que la carte ne commence à s'éffondrer, courez vite pour éviter de tomber.	▢FFFFD700El juego comienza, ▢FFFF0000%1s秒▢FF00FF00 segundos del mapa comienzan a colapsar, corren para evitar caídas.	▢FF00FF00Il gioco inizia,▢FFFF0000%1s▢FF00FF00 secondi della mappa iniziano a collassare, corri per evitare di cadere.	▢FF00FF00Game dimulai, dalam ▢FFFF0000%1s▢FF00FF00 peta mulai runtuh, melarikan diri cepat supaya tidak jatuh.	▢FF00FF00Game has Started，The map will collapse in ▢FFFF0000%1s seconds▢FF00FF00, go and run!	▢FF00FF00Oyun başlıyor,▢FFFF0000%1s▢FF00FF00 saniye haritanın çökmesi başlar, düşmeyi önlemek için koşmaya başlayın.	▢FF00FF00Trò chơi đã bắt đầu, bản đồ còn ▢FFFF0000%1s▢FF00FF00 giây nữa là bắt đầu sụp đổ, hãy chạy nhanh để không bị rớt xuống.	▢FF00FF00Game has Started，The map will collapse in ▢FFFF0000%1s seconds▢FF00FF00, go and run!
63	TNTRunGameStartHint		▢FF00FF00地图已经开始崩塌。	▢FF00FF00The map has collapsed!	▢FF00FF00The O Mapa Entrou Em Colapso!	▢FF00FF00Карта разрушается!	▢FF00FF00지도는 붕괴하기 시작했습니다.	▢FF00FF00Die Karte beginnt zu zerfallen.	▢FF0000FFLa carte commence à s'effondrer.	▢FFFFD700El mapa ha comenzado a colapsar.	▢FF00FF00La mappa ha iniziato a crollare.	▢FF00FF00Peta mulai runtuh.	▢FF00FF00The map has collapsed!	▢FF00FF00Harita çökmeye başladı.	▢FF00FF00Bản đồ đã bắt đầu sụp đổ.	▢FF00FF00The map has collapsed!
64	TNTRunBecomeRole		你成为了▢FF00FF00%1s	You become ▢FF00FF00%1s	Torna-se ▢FF00FF00%1s	Вы стали ▢FF00FF00%1s	▢FF00FF00%1s가 되었습니다.	Sie werden ▢FF00FF00%1s	Vous êtes devenu ▢FF00FF00%1s	Te conviertes en ▢FF00FF00%1s	Diventi ▢FF00FF00%1s	Anda menjadi ▢FF00FF00%1s	You become ▢FF00FF00%1s	▢FF00FF00%1s oldun	Bạn trở thành ▢FF00FF00%1s	You become ▢FF00FF00%1s
65	TNTRunRunner		跑酷者	Runner	Corredor	Бегуном	파쿠르 실행자	Läufer	Coureur	Corredor	persona Parkour	Pelari	Runner	Koşucu	Parkour	Runner
66	TNTRunDestroyer		破坏者	Broker	Corretor	Брокером	파괴자	Zerstörer	Destructeur	Destructor	sabotatore	Perusak	Broker	Yok edici	Kẻ phá hoại	Broker
67	TNTRunGetDataHint		▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 我： %5s ▢FFFFFFFF- ▢FFFF0000时间： %6s 秒	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Me： %5s ▢FFFFFFFF- ▢FFFF0000Time： %6s s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00 3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Eu： %5s ▢FFFFFFFF- ▢FFFF0000Tempo： %6s s	▢FF00FF004УР： %1s▢FFFFFFFF -▢FFFFFF00  3УР： %2s▢FFFFFFFF - ▢FF00FFFF2УР： %3s▢FFFFFFFF - ▢FFFF00001УР： %4s▢FFFFFFFF -▢FFFFD700 Я： %5s ▢FFFFFFFF- ▢FFFF0000Время： %6s с	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Me： %5s ▢FFFFFFFF- ▢FFFF0000Time： %6s s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Ich: %5s ▢FFFFFFFF- ▢FFFF0000Zeit: %6s 秒	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Moi: %5s ▢FFFFFFFF- ▢FFFF0000Temps: %6s s	▢FF00FF004F:%1s ▢FFFFFFFF -▢FFFFFF00 3F:%2s ▢FFFFFFFF - ▢FF00FFFF 2F:%3s ▢FFFFFFFF - ▢FFFF0000 1F:%4s ▢FFFFFFFF -▢FFFFD700 Yo:%5s ▢FFFFFFFF- ▢FFFF0000 Tiempo:%6s s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700  I： %5s ▢FFFFFFFF- ▢FFFF0000Tempo：%6s  s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700  saya： %5s ▢FFFFFFFF- ▢FFFF0000wWaktu：%6s  s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Me： %5s ▢FFFFFFFF- ▢FFFF0000Time： %6s s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700ben： %5s ▢FFFFFFFF- ▢FFFF0000zaman：%6s  s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700Tôi： %5s ▢FFFFFFFF- ▢FFFF0000Thời gian：%6s  s	▢FF00FF004F： %1s▢FFFFFFFF -▢FFFFFF00  3F： %2s▢FFFFFFFF - ▢FF00FFFF2F： %3s▢FFFFFFFF - ▢FFFF00001F： %4s▢FFFFFFFF -▢FFFFD700 Me： %5s ▢FFFFFFFF- ▢FFFF0000Time： %6s s
68	BedWarStore	起床战争	商店	store	Loja	Счёт	상점	Laden	Boutique	Tienda	negozio	toko	store	Dükkan	Cửa hàng	store
69	BedWarPublicMoney		公有货币产生点	factory of public money	Fábrica de dinheiro público	factory of public money	공유 화폐 산출지	Das Geburtsort der Öffentlicher Währung	Point de génération de monnaie publique	Punto de generación de moneda pública	Punto di generazione di moneta pubblica	Titik menghasilkan mata uang publik	factory of public money	Ortak para birimini üretim noktası	Điểm phát hành tiền tệ công hữu	factory of public money
70	BedWarUpgrade		%1s▢FF00FFFF升级了▢FFFFFF00%2s。▥	%1s▢FF00FFFF upgrades the ▢FFFFFF00%2s▥	%1s▢FF00FFFF Atualizar o ▢FFFFFF00%2s▢	▢FF00FFFF Игрок▢ %1s▢FF00FFFF улучшил предмет ▢FFFFFF00%2s▥	%1s▢FF00FFFF는 ▢FFFFFF00%2s를 업그레이드했습니다.▥	%1s▢FF00FFFF hat▢FFFFFF00%2s aktualisiert.▥	▢FF0000FF Mise à jour de ▢FFFF0000%1s▢FF0000FF pour devenir ▢FFFFFF00%2s.	%1s▢FF00FFFF ha actualizado ▢FFFFFF00%2s.	%1s▢FF00FFFF aggiornato▢FFFFFF00%2s.	%1s▢FF00FFFF meningkatkan ▢FFFFFF00%2s.	%1s▢FF00FFFF upgrades the ▢FFFFFF00%2s▥	%1s▢FF00FFFF GÜNCELLEME ▢FFFFFF00%2s。▥	%1s▢FF00FFFF đã nâng cấp lên ▢FFFFFF00%2s.	%1s▢FF00FFFF upgrades the ▢FFFFFF00%2s▥
71	BedWarIronMoney		铁块货物	iron money	Dinheiro em Ferro	Железные деньги	쇠 조각 화물	Eisenwaren	Objets en fer	Productos de hierro	Beni di ferro	Barang kotak besi	iron money	Demir mallar	Hàng hóa sắt	iron money
72	BedWarGlodMoney		金块货物	glod money	Dinheiro em ouro	Золотые деньги	금덩이 화물	Bullion Waren	Objets en or	Productos de oro	Merci di lingotti	Barang kotak emas	glod money	Altın mallar	Hàng hóa vàng	glod money
73	MsgGameScore	通用	▢FFFFD700分数 : %1s▥	▢FFFFD700Score : %1s▥	▢FFFFD700Pontos : %1s▢	▢FFFFD700Счёт : %1s▥	▢FFFFD700점수 : %1s▥	▢FFFFD700Punkt:%1s▥	▢FF0000FFScore:▢FFFF0000%1s	▢FFFFD700Puntuación:%1s	▢FFFFD700Punteggio:%1s	▢FFFFD700Nilai :%1s	▢FFFFD700Score : %1s▥	▢FFFFD700Puan:%1s	▢FFFFD700Điểm số: %1s	▢FFFFD700Score : %1s▥
74	MsgWaitPlayer		▢FF00FFFF等待玩家中...	▢FF00FFFFWaiting for More Players…	▢FF00FFFFEsperando por mais jogadores…	▢FF00FFFFОжидание игроков…	▢FF00FFFF게이머 대기중...	▢FF00FFFFWarten auf den Spieler ...	▢FF0000FFEn attente des joueurs…	▢FF00FFFFEsperando al jugador ...	▢FF00FFFFAspettando il giocatore ...	▢FF00FFFFMenunggu pemain ...	▢FF00FFFFWaiting for More Players…	▢FF00FFFFOyuncu bekleniyor ...	▢FF00FFFFĐang chờ người chơi...	▢FF00FFFFWaiting for More Players…
75	MsgCanStartCount		▢FF00FF00达到人数要求，准备开始游戏	▢FF00FF00Players Ready, Game Starting	▢FF00FF00Jogadores Prontos,Iniciando O Jogo	▢FF00FF00Игроки набраны. Игра начинается! 	▢FF00FF00인원 요구 수량 만족, 게임 시작 준비	▢FF00FF00Erreichen Sie die Anzahl der Anforderungen.Das Spiel starten	▢FF0000FFLe nombre de joueurs requis a été atteint, prêt à démarrer le jeu	▢FF00FF00Cumplir con el requisito de número de personas, listo para comenzar el juego	▢FF00FF00Soddisfa il numero di requisiti, pronto per iniziare il gioco	▢FF00FF00Memenuhi persyaratan jumlah game , siap untuk memulai game	▢FF00FF00Players Ready, Game Starting	▢FF00FF00Oyunun gereklilik sayısını yakalayın, oyuna başlamaya hazır mısınız?	▢FF00FF00Đã đạt giới hạn số lượng người chơi, bắt đầu chơi	▢FF00FF00Players Ready, Game Starting
76	SnowBattleGame	雪战百人斩	雪战百人斩	Snowball 100 Kills	SnowBattle	SnowBattle	Snow Battle 100 kills	Snowball 100 kills	Snowball 100 Kills	Snowball 100 Kills	Snowball 100 Kills	Perang salju ratusan orang	Snowball 100 Kills	Snowball 100 Kills	Snowball 100 Kills	SnowBattle
77	ZombieInfectingGame	生化危机	生化危机	Zombie Infecting	ZombieInfecting	ZombieInfecting	Zombie Infecting	Zombie Infecting	Zombies infection	Zombie Infecting	Zombie Infecting	Resident Evil	Zombie Infecting	Zombie Infecting	Zombie Infecting	ZombieInfecting
78	ZombieInfectingSoldierSelected		▢FF00FF00活下来，并消灭僵尸！	▢FF00FF00To survive and kill the zombies!	▢FF00FF00Para Sobreviver Mate Os Zombies!	▢FF00FF00Выживи и убей всех зомби! 	▢FF00FF00살아남고 좀비를 소멸시킵시다.	▢FF00FF00Leben und eliminieren  Zombies!	▢FF0000FFSurvivre et détruire les zombies!	▢FF00FF00Vive y destruye zombies!	▢FF00FF00Vivi e distruggi gli zombi!	▢FF00FF00Hidup dan hancurkan zombie!	▢FF00FF00To survive and kill the zombies!	▢FF00FF00Hayatta kal ve zombileri yok et!	▢FF00FF00Sống lại và tiêu diệt cương thi!	▢FF00FF00To survive and kill the zombies!
79	ZombieInfectingZombieSelected		▢FF00FF00寻找和感染所有的人类！	▢FF00FF00Find and infect all humans!	▢FF00FF00Encontre e infecte todos os seres humanos!	▢FF00FF00Найди и зарази всех людей! 	▢FF00FF00모든 인간을 찾아 감염시키도록 합시다.	▢FF00FF00Suchen und infizieren die ganze Menschheit!	▢FF0000FFChercher et infecter toute l'humanité!	▢FF00FF00¡Encuentra e infecta a toda la humanidad!	▢FF00FF00Trova e infetta tutti gli esseri umani!	▢FF00FF00Mecari dan menginfeksi semua manusia!	▢FF00FF00Find and infect all humans!	▢FF00FF00Tüm insanlığı bul ve bulaştır!	▢FF00FF00Tìm và lây nhiễm cho nhân loại!	▢FF00FF00Find and infect all humans!
80	ZombieInfectingSoldier		士兵	Soldier	Soldado	Солдат	병사	Soldat	Soldat	Soldado	Soldato	Tentara	Soldier	Asker	Binh sĩ	Soldier
81	ZombieInfectingZombie		僵尸	Zombie	Zombie	Зомби	좀비	Zombie	Zombie	Zombie	Zombie	Zombie	Zombie	Zombi	Cương thi	Zombie
82	MsgGameInProgress		▢FF00FF00游戏进行中，请稍候	Game in progress, please wait.	Jogo em Progresso, Por Favor Espere...	Идёт игра... Ждите... 	▢FF00FF00게임 진행중, 잠시 기다려 주십시오.	▢FF00FF00Das Spiel ist in Bearbeitung, bitte warten	▢FF0000FFBienvenue dans le jeu, veuillez patienter	▢FF00FF00El juego está en progreso, por favor espera	▢FF00FF00Il gioco è in corso, per favore aspetta	▢FF00FF00Game sedang berlangsung, mohon tunggu	Game in progress, please wait.	▢FF00FF00Oyun devam ediyor, lütfen bekleyin	▢FF00FF00Đang vào trò chơi, vui lòng chờ	Game in progress, please wait.
83	MsgGameNeedPlayers		▢FF00FFFF当前▢FFFF0000%1s▢FF00FFFF个玩家，至少需要▢FFFF0000%2s▢FF00FFFF个玩家。▥	▢FF00FFFFCuttent players: ▢FFFF0000%1s▢FF00FFFF, need: ▢FFFF0000%2s▢FF00FFFF.▥	▢FF00FFFFJogadores atuais: ▢FFFF0000%1s▢FF00FFFF，Precisa: ▢FFFF0000%2s。▥	▢FF00FFFFВсего игроков: ▢FFFF0000%1s▢FF00FFFF，необходимо: ▢FFFF0000%2s。▥	▢FF00FFFF현 게이머 ▢FFFF0000%1s▢FF00FFFF명, 최소로 ▢FFFF0000%2s▢FF00FFFF 명 필요합니다.▥	▢FF00FFFFDerzeit gibt es ▢FFFF0000%1s▢FF00FFFF Spieler, mindestens ▢FFFF0000%1s▢FF00FFFF Spieler.▥	▢FF0000FFActuellement il y a ▢FFFF0000%1s▢FF0000FF joueur, au moins ▢FFFF0000%2s▢FF0000FF joueurs sont requis pour démarrer le jeu.	Actualmente, hay ▢FFFF0000%1s▢FF00FFFF jugadores y requieren al menos ▢FFFF0000%2s▢FF00FFFF jugadores.	▢FF00FFFFAttualmente I giocatori di ▢FFFF0000%1s▢FF00FFFF richiedono almeno ▢FFFF0000%2s▢FF00FFFF giocatori.	▢FF00FFFFSaat ini pemain ▢FFFF0000%1s▢FF00FFFF ,membutuhkan pemain minimal ▢FFFF0000%2s▢FF00FFFF.	▢FF00FFFFCuttent players: ▢FFFF0000%1s▢FF00FFFF, need: ▢FFFF0000%2s▢FF00FFFF.▥	▢FF00FFFFŞu anda ▢FFFF0000%1s▢FF00FFFF oyuncu en az ▢FFFF0000%2s▢FF00FFFF oyuncu gerektirir.	▢FF00FFFFHiện có ▢FFFF0000%1s▢FF00FFFF người chơi, cần ít nhất ▢FFFF0000%2s▢FF00FFFF người chơi.	▢FF00FFFFCuttent players: ▢FFFF0000%1s▢FF00FFFF, need: ▢FFFF0000%2s▢FF00FFFF.▥
84	ZombieInfectingGameData		▢FF00FF00士兵： %1s ▢FFFFFFFF– ▢FF0000FF僵尸： %2s ▢FFFFFFFF– ▢FFFFD700分数： %3s	▢FF00FF00Soldier： %1s ▢FFFFFFFF– ▢FF0000FFZombie： %2s ▢FFFFFFFF– ▢FFFFD700Score： %3s	▢FF00FF00Soldier： %1s ▢FFFFFFFF– ▢FF0000FFZombie： %2s ▢FFFFFFFF– ▢FFFFD700Score： %3s	▢FF00FF00Soldier： %1s ▢FFFFFFFF– ▢FF0000FFZombie： %2s ▢FFFFFFFF– ▢FFFFD700Score： %3s	병사:  %1s - 강시: ： %2s –  점수：  %3s	▢FF00FF00Soldat:%1s ▢FFFFFFFF– ▢FF0000FFZombie:%2s ▢FFFFFFFF– ▢FFFFD700Punktzahl:%3s	▢FF0000FFSoldats: %1s▢FFFFFFFF– ▢FF0000FFZombies: %2s▢FFFFFFFF– ▢FFFFD700 Score: %3s	▢FF00FF00Soldados:%1s ▢FFFFFFFF– ▢FF0000FF Zombies:%2s ▢FFFFFFFF– ▢FFFFD700 Puntuación:%3s	▢FF00FF00Soldato：%1s ▢FFFFFFFF– ▢FF0000FFZombie：%2s ▢FFFFFFFF– ▢FFFFD700Punteggio：%3s	▢FF00FF00Soldier：%1s ▢FFFFFFFF– ▢FF0000FFZombie：%2s ▢FFFFFFFF– ▢FFFFD700 Score：%3s	▢FF00FF00Soldier： %1s ▢FFFFFFFF– ▢FF0000FFZombie： %2s ▢FFFFFFFF– ▢FFFFD700Score： %3s	▢FF00FF00Asker：%1s ▢FFFFFFFF– ▢FF0000FFZombi：%2s ▢FFFFFFFF– ▢FFFFD700 Skor：%3s	▢FF00FF00Binh sĩ：%1s ▢FFFFFFFF– ▢FF0000FFCương thi：%2s ▢FFFFFFFF– ▢FFFFD700 Điểm số：%3s	▢FF00FF00Soldier： %1s ▢FFFFFFFF– ▢FF0000FFZombie： %2s ▢FFFFFFFF– ▢FFFFD700Score： %3s
85	ZombieInfectingConvertToZombie		▢FFFF0000你被感染成僵尸	▢FFFF0000You are zombie now	▢FFFF0000Você é zumbi agora	▢FFFF0000You are zombie now	▢FFFF0000감염되어 강시가 되었습니다	▢FFFF0000war als ein Zombie infiziert	▢FFFF0000A été infecté et s'est transformé en zombie	▢FFFF0000Estás infectado como un zombie	▢FFFF0000? stato infettato da zombi	▢FFFF0000Telah terinfeksi sebagai zombie	▢FFFF0000You are zombie now	▢FFFF0000Bir zombiye dönüşmek üzere bulaşmış.	▢FFFF0000Bị nhiễm thành cương thi	▢FFFF0000You are zombie now
86	MsgPlayerIsEnough		▢FFFF0000该房间人数已满	▢FFFF0000Game has enough players.	▢FFFF0000O jogo tem jogadores suficientes.	▢FFFF0000Game has enough players.	▢FFFF0000방이 만원입니다	Der Raum ist voll	▢FFFF0000Le nombre de personnes dans cette chambre est complet	▢FFFF0000La habitación está llena	▢FFFF0000La stanza è piena	▢FFFF0000Ruangan ini telah penuh	▢FFFF0000Game has enough players.	▢FFFF0000Oda dolu	▢FFFF0000Số người phòng này đã đầy	▢FFFF0000Game has enough players.
87	MsgGameHasStarting		▢FF00FF00游戏已经开始了	▢FF00FF00Game has started.	▢FF00FF00O jogo começou.	▢FF00FF00Game has started.	▢FF00FF00게임이 시작되었습니다	Das Spiel hat bereits begonnen.	▢FF00FF00Le jeu a déjà commencé	▢FFFF0000El juego ya ha comenzado	▢FF00FF00Il gioco è già iniziato	▢FF00FF00Game sudah mulai	▢FF00FF00Game has started.	▢FF00FF00Oyun çoktan başladı.	▢FF00FF00Đã bắt đầu trò chơi	▢FF00FF00Game has started.
88	MsgBuyGoodsFailedByNoStart		游戏还没开始，暂时不能购买物品	The game has not started, can not buy goods.	O jogo ainda não começou, não pode comprar itens.	The game has not started, can not buy goods.	게임이 시작되지 않았습니다. 상품을 구매할 수 없습니다	Das Spiel hat nicht begonnen, Sie können keine Waren vorübergehend kaufen	Le jeu n'a pas encore commencé, il est temporairement impossible d'acheter des marchandises	El juego no ha comenzado, no puede comprar artículos temporalmente	Il gioco non è iniziato, non è possibile acquistare merci temporaneamente	Game belum mulai, tidak bisa membeli barang untuk sementara	The game has not started, can not buy goods.	Oyun başlamadı, geçici olarak mal satın alamazsınız.	Trò chơi vẫn chưa bắt đầu, không thể mua vật phẩm	The game has not started, can not buy goods.
89	ZombieDontBuyGoods		僵尸不能购买物品	Zombies can not buy goods.	Os zombis não podem comprar bens.	Zombies can not buy goods.	강시는 상품을 구매할 수 없습니다.	Zombies können nicht kaufen	Les zombies ne peuvent pas acheter des marchandises	Los zombis no pueden comprar artículos	Gli zombi non possono comprare oggetti	Zombie tidak bisa membeli barang	Zombies can not buy goods.	Zombi öğeleri satın alamaz.	Cương thi không thể mua vật phẩm	Zombies can not buy goods.
90	JailBreakPoliceStation	越狱	警察局	Police Station	Delegacia de polícia	Police Station	경찰국	Polizeistation	Poste de police	Comisaría	Stazione di polizia	Kantor polisi	Police Station	Polis istasyonu	Đồn cảnh sát	Police Station
91	JailBreakJail		监狱	Jail	Cadeia	Jail	감옥 	Gefängnis	Prison	Prisión	Prigione	Penjara	Jail	Hapishane	Nhà tù	Jail
92	JailBreakBank		银行	Bank	Banco	Bank	은행	Bank	Banque	Banco	Banca	Bank	Bank	Banka	Ngân hàng	Bank
93	JailBreakHospital		医院	Hospital	Hospital	Hospital	병원	Krankenhaus	Hôpital	Hospital	Ospedale	Rumah Sakit	Hospital	Hastane	Bệnh viện	Hospital
94	JailBreakEnterLocation		你进入了%1s	You enter the %1s	Você entrou no %1s	You enter the %1s	%1s에 진입하였습니다	Sie haben %1s eingehen	▢FF0000FFVous êtes entré dans ▢FFFF0000%1s	Entraste a %1s	Hai inserito %1s	Anda masuk %1s	You enter the %1s	%1s' lere girdiğiniz	Bạn đã tham gia %1s	You enter the %1s
95	JailBreakQuitLocation		你离开了%1s	You left the %1s	Você saiu do %1s	You left the %1s	%1s 이탈하였습니다.	Sie haben %1s verlassen	▢FF0000FFVous avez quitté ▢FFFF0000%1s	Te fuiste de %1s	Hai lasciato %1s	Anda meninggalkan %1s	You left the %1s	%1s bıraktın	Bạn đã rời khỏi %1s	You left the %1s
96	JailBreakShowPoliceInfo		▢FF0000FF功勋值： %1s	▢FF0000FFMerit ： %1s	▢FF0000FFMérito  %1s	▢FF0000FFMerit  %1s	공훈값: %1s	▢FF0000FFVerdienstwert %1s	▢FF0000FFNombre de mérites: ▢FFFF0000%1s	▢FF0000FFValor de mérito  %1s	▢FF0000FFValore di merito  %1s	▢FF0000FFNilai prestasi %1s	▢FF0000FFMerit ： %1s	▢FF0000FFBaşarı değeri: %1s	▢FF0000FFGiá trị công trạng  %1s	▢FF0000FFMerit ： %1s
97	JailBreakShowCriminalInfo		▢FFFF0000威胁值： %1s	▢FFFF0000Threat ： %1s	▢FFFF0000Ameaça  %1s	▢FFFF0000Threat  %1s	협박값: %1s	▢FFFF0000Bedrohungswert %1s	▢FF0000FFNombre de menaces:▢FFFF0000%1s	▢FFFF0000Valor de la amenaza  %1s	▢FFFF0000Valore della minaccia  %1s	▢FFFF0000Nilai ancaman %1s	▢FFFF0000Threat ： %1s	▢FFFF0000Tehdit değeri: %1s	▢FFFF0000Giá trị uy hiếp  %1s	▢FFFF0000Threat ： %1s
98	JailBreakGameName	越狱	越狱	Jail Break	Fuga de presos	JailBreak	Jail Break	Jail break	Jail Break	Jail Break	Jail Break	Jail break	Jail Break	Jail Break	Jail Break	JailBreak
99	JailBreakOpenCheck		%1s▢FFFFFFFF被抢劫了，请迅速出警	A criminal case occurred in %1s	Um caso criminal ocorreu em %1s	A criminal case occurred in %1s	%1s 강탈당했습니다. 즉시 출두하기 바랍니다	%1s▢FFFFFFFF wurde ausgeraubt, bitte schnell gehen	%1s▢FFFFFFFF a été volé, veuillez rapidement contacter la police	%1s▢FFFFFFFF fue robado, por favor, interviene rápidamente la policía	%1s▢FFFFFFFF è stato derubato, per favore rapidamente fuori dalla polizia	%1s▢FFFFFFFF dirampok, tolong cepat keluarkan polisi	A criminal case occurred in %1s	%1s▢FFFFFFFF soyuldu, lütfen hemen polis karakolundan çıkın.	%1s▢FFFFFFFF đã bị cướp, cảnh sát xuất phát ngay	A criminal case occurred in %1s
100	JailBreakCaptureCriminal		%1s▢FFFFFFFF被逮捕了	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFfoi preso	%1s▢FFFFFFFFwas under arrest	%1s체포되었습니다	%1s▢FFFFFFFF wurde verhaftet	%1s▢FFFFFFFF a été arrêté	%1s▢FFFFFFFF fue arrestado	%1s▢FFFFFFFF è stato arrestato	%1s▢FFFFFFFF ditangkap	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFF tutuklandı.	%1s▢FFFFFFFF đã bị bắt giữ	%1s▢FFFFFFFFwas under arrest
101	JailBreakKillCriminal		%1s▢FFFFFFFF被击毙了	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFfoi morto a tiros	%1s▢FFFFFFFFwas shot to death	%1s 사살되었습니다	%1s▢FFFFFFFF wurde getötet	%1s▢FFFFFFFF a été tué 	%1s▢FFFFFFFF fue asesinado	%1s▢FFFFFFFF è stato ucciso	%1s▢FFFFFFFF terbunuh	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFF öldürüldü.	%1s▢FFFFFFFF đã bị bắn chết	%1s▢FFFFFFFFwas shot to death
102	JailBreakKillPolice		%1s▢FFFFFFFF因公殉职	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFfoi morto enquanto estava de plantão	%1s▢FFFFFFFFdies while on duty	%1s 순직하였습니다	%1s▢FFFFFFFF ist im Dienst gestorben	%1s▢FFFFFFFF est mort en service	%1s▢FFFFFFFF murió de servicio	%1s▢FFFFFFFF è morto in servizio	%1s▢FFFFFFFF meninggal saat bertugas	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFF görevde öldü.	%1s▢FFFFFFFF hi sinh khi làm nhiệm vụ	%1s▢FFFFFFFFdies while on duty
103	JailBreakOpenDoor		%1s▢FFFFFFFF被抢劫了，请迅速出警	%1s was robbed by criminal	%1s foi roubado por criminosos	%1s was robbed by criminal	%1s 강탈당했습니다. 즉시 출두하기 바랍니다.	%1s▢FFFFFFFF wurde ausgeraubt, bitte schnell gehen	%1s▢FFFFFFFF a été volé, veuillez rapidement contacter la police	%1s▢FFFFFFFF fue robado, por favor, interviene rápidamente la policía	%1s▢FFFFFFFF è stato derubato, per favore rapidamente fuori dalla polizia	%1s▢FFFFFFFF dirampok, tolong cepat keluarkan polisi	%1s was robbed by criminal	%1s▢FFFFFFFF soyuldu, lütfen hemen polis karakolundan çıkın.	%1s▢FFFFFFFF đã bị cướp, cảnh sát xuất phát ngay	%1s was robbed by criminal
104	JailBreakBankChest		银行保险柜	Bank Chest	Cofre do Banco	BankChest	은행 금고	Bank Safe	Coffre-fort de la banque	Cajas fuertes de banco	Cassaforte dell banca	Brankas bank	BankChest	Banka güvenlik kasası	Tủ bảo hiểm ngân hàng	BankChest
